Swear_Phrase,Language,Intensity
madarchod bhosdike bhosdike mar,Hinglish,Nuclear
phadke lavda choos lawda,Hinglish,Nuclear
behen ki chut bhosdike mar,Hinglish,Nuclear
gaandu gaandu harami lawda,Hinglish,Nuclear
gand mar mar randi,Hinglish,Nuclear
harami kutte ki aulad randi,Hinglish,Nuclear
phadke gaand phaad phad dunga,Hinglish,Nuclear
phad dunga gaandu harami hijda,Hinglish,Nuclear
madarchod kutte ki aulad hijda,Hinglish,Nuclear
pucchi khajvya mar bhosdike,Hinglish/Marathi Mix,Nuclear
bhosdi wali randi ki aulad,Hinglish,Nuclear
hijda zavadya madarchod mar,Hinglish,Nuclear
gand mar randi bhadwa,Hinglish,Nuclear
tuzya aaicha foda phad dunga chutiya,Hinglish/Marathi Mix,Nuclear
randi ayica dana chutiya,Hinglish,Nuclear
tuzya aaicha foda lund ki aulad,Hinglish/Marathi Mix,Nuclear
randi ka lund madarchod mar,Hinglish,Nuclear
maa ka bhosada bhosdike harami,Hinglish,Nuclear
lavde ka baal phadke ki aulad,Hinglish,Nuclear
behenchod randi randi lund,Hinglish,Nuclear
lavde ka baal hijda madarchod,Hinglish,Nuclear
bhosdi wali choos hijda,Hinglish,Nuclear
behen ki chut mar hijda,Hinglish,Nuclear
gand phatli bhenchod chutiya choos,Hinglish/Marathi Mix,Nuclear
bhosdi wali lund mar,Hinglish,Nuclear
randi chut mein lund daal dunga,Hinglish,Nuclear
behenchod randi choos madarchod,Hinglish,Nuclear
tuzya aaichi pucchi bhosdike bhosdike,Hinglish/Marathi Mix,Nuclear
zavadya madarchod bhadwa mar,Hinglish,Nuclear
teri maa ki chut phad dunga chutiya,Hinglish,Nuclear
lund tuzya aaicha foda phadke,Hinglish/Marathi Mix,Nuclear
pucchi khajvya harami mar,Hinglish/Marathi Mix,Nuclear
behenchod randi phadke ki aulad,Hinglish,Nuclear
zavadya madarchod lund bhadwa,Hinglish,Nuclear
randi zavadya madarchod daal dunga,Hinglish,Nuclear
lavde ka baal lawda ki aulad,Hinglish,Nuclear
choos gaandu harami gaandu,Hinglish,Nuclear
bhosdike madarchod bhosdike phad dunga,Hinglish,Nuclear
zavadya madarchod choos phad dunga,Hinglish,Nuclear
phad dunga pucchi khajvya hijda,Hinglish/Marathi Mix,Nuclear
choos kutte ki aulad phad dunga,Hinglish,Nuclear
ayica dana harami chutiya,Hinglish,Nuclear
hijda bhosdi wali ki aulad,Hinglish,Nuclear
chut mein lund bhosdike randi,Hinglish,Nuclear
zavadya madarchod chutiya lawda,Hinglish,Nuclear
harami behenchod randi lawda,Hinglish,Nuclear
gaand phaad choos lawda,Hinglish,Nuclear
tuzya aaicha foda lund randi,Hinglish/Marathi Mix,Nuclear
bhosdi wali ki aulad madarchod,Hinglish,Nuclear
bhosdi wali lund phad dunga,Hinglish,Nuclear
hijda harami chutiya ki aulad,Hinglish,Nuclear
randi behenchod randi gaandu,Hinglish,Nuclear
randi gand phatli bhenchod choos,Hinglish/Marathi Mix,Nuclear
randi ka lund phadke lund,Hinglish,Nuclear
phadke tujha aila kutryawani hijda,Hinglish,Nuclear
lavde ka baal lund chutiya,Hinglish,Nuclear
choos pucchi khajvya bhosdike,Hinglish/Marathi Mix,Nuclear
daal dunga ayica dana madarchod,Hinglish,Nuclear
mar madarchod bhosdike lund,Hinglish,Nuclear
harami chutiya daal dunga gaandu,Hinglish,Nuclear
randi ka lund harami daal dunga,Hinglish,Nuclear
harami gaandu harami chutiya,Hinglish,Nuclear
gand phatli bhenchod madarchod ki aulad,Hinglish/Marathi Mix,Nuclear
pucchi khajvya chutiya randi,Hinglish/Marathi Mix,Nuclear
randi ka lund harami madarchod,Hinglish,Nuclear
lavda choos phad dunga madarchod,Hinglish,Nuclear
gaand phaad phadke bhosdike,Hinglish,Nuclear
daal dunga tujha aila kutryawani hijda,Hinglish,Nuclear
phadke bhosdi wali ki aulad,Hinglish,Nuclear
pucchi khajvya gaandu harami,Hinglish/Marathi Mix,Nuclear
bhosdi wali bhadwa harami,Hinglish,Nuclear
daal dunga kutte ki aulad madarchod,Hinglish,Nuclear
ki aulad behenchod randi hijda,Hinglish,Nuclear
bhosdike aai chi gand gaandu,Hinglish/Marathi Mix,Nuclear
randi ka lund phad dunga madarchod,Hinglish,Nuclear
tuzya aaicha foda chutiya bhosdike,Hinglish/Marathi Mix,Nuclear
mar ayica dana randi,Hinglish,Nuclear
phad dunga gaandu harami harami,Hinglish,Nuclear
chutiya harami chutiya hijda,Hinglish,Nuclear
phadke gaandu harami bhosdike,Hinglish,Nuclear
hijda zavadya madarchod gaandu,Hinglish,Nuclear
mar aai chi gand hijda,Hinglish/Marathi Mix,Nuclear
daal dunga randi ka lund randi,Hinglish,Nuclear
bhosdike gaand phaad ki aulad,Hinglish,Nuclear
lavde ka baal bhosdike madarchod,Hinglish,Nuclear
bhadwa tuzya aaicha foda daal dunga,Hinglish/Marathi Mix,Nuclear
mar tujha aila kutryawani phad dunga,Hinglish,Nuclear
daal dunga tuzya aaicha foda phadke,Hinglish/Marathi Mix,Nuclear
ayica dana madarchod gaandu,Hinglish,Nuclear
gaandu harami mar ki aulad,Hinglish,Nuclear
gand mar daal dunga phadke,Hinglish,Nuclear
mar gaand phaad choos,Hinglish,Nuclear
tuzya aaichi pucchi madarchod madarchod,Hinglish/Marathi Mix,Nuclear
lavde ka baal gaandu phad dunga,Hinglish,Nuclear
tujha aila kutryawani lund ki aulad,Hinglish,Nuclear
mar gaandu harami lawda,Hinglish,Nuclear
pucchi khajvya harami lawda,Hinglish/Marathi Mix,Nuclear
madarchod lavde ka baal mar,Hinglish,Nuclear
bhadwa teri maa ki chut bhadwa,Hinglish,Nuclear
ayica dana lawda phad dunga,Hinglish,Nuclear
gaandu gaandu harami bhosdike,Hinglish,Nuclear
madarchod gaand phaad hijda,Hinglish,Nuclear
harami chutiya randi phadke,Hinglish,Nuclear
daal dunga gaand phaad randi,Hinglish,Nuclear
phadke madarchod bhosdike chutiya,Hinglish,Nuclear
ki aulad teri maa ki chut harami,Hinglish,Nuclear
zavadya madarchod harami chutiya,Hinglish,Nuclear
teri maa ki chut phadke chutiya,Hinglish,Nuclear
lavda choos mar randi,Hinglish,Nuclear
teri maa ki chut choos bhadwa,Hinglish,Nuclear
randi gaandu harami lund,Hinglish,Nuclear
aai chi gand phad dunga mar,Hinglish/Marathi Mix,Nuclear
gaandu aai chi gand randi,Hinglish/Marathi Mix,Nuclear
zavadya madarchod lund harami,Hinglish,Nuclear
ayica dana chutiya phad dunga,Hinglish,Nuclear
lavda choos ki aulad choos,Hinglish,Nuclear
hijda gaand phaad mar,Hinglish,Nuclear
daal dunga aai chi gand harami,Hinglish/Marathi Mix,Nuclear
chut mein lund gaandu mar,Hinglish,Nuclear
zavadya madarchod phad dunga madarchod,Hinglish,Nuclear
tuzya aaicha foda ki aulad mar,Hinglish/Marathi Mix,Nuclear
bhadwa harami chutiya mar,Hinglish,Nuclear
madarchod behen ki chut phadke,Hinglish,Nuclear
randi ka lund chutiya randi,Hinglish,Nuclear
gand phatli bhenchod bhadwa hijda,Hinglish/Marathi Mix,Nuclear
choos bhosdi wali phad dunga,Hinglish,Nuclear
phadke aai chi gand daal dunga,Hinglish/Marathi Mix,Nuclear
madarchod gand phatli bhenchod phad dunga,Hinglish/Marathi Mix,Nuclear
gaand phaad randi harami,Hinglish,Nuclear
harami zavadya madarchod phadke,Hinglish,Nuclear
